Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Italy,ITA,2015-01-01 00:00:00,2015-01-01 01:00:00,39.1
Italy,ITA,2015-01-01 01:00:00,2015-01-01 02:00:00,35.21
Italy,ITA,2015-01-01 02:00:00,2015-01-01 03:00:00,32.43
Italy,ITA,2015-01-01 03:00:00,2015-01-01 04:00:00,33.15
Italy,ITA,2015-01-01 04:00:00,2015-01-01 05:00:00,38.85
Italy,ITA,2015-01-01 05:00:00,2015-01-01 06:00:00,48.89
Italy,ITA,2015-01-01 06:00:00,2015-01-01 07:00:00,60.42
Italy,ITA,2015-01-01 07:00:00,2015-01-01 08:00:00,64.09
Italy,ITA,2015-01-01 08:00:00,2015-01-01 09:00:00,64.57
Italy,ITA,2015-01-01 09:00:00,2015-01-01 10:00:00,56.41
Italy,ITA,2015-01-01 10:00:00,2015-01-01 11:00:00,54.61
Italy,ITA,2015-01-01 11:00:00,2015-01-01 12:00:00,52.36
Italy,ITA,2015-01-01 12:00:00,2015-01-01 13:00:00,51.76
Italy,ITA,2015-01-01 13:00:00,2015-01-01 14:00:00,55.41
Italy,ITA,2015-01-01 14:00:00,2015-01-01 15:00:00,64.13
Italy,ITA,2015-01-01 15:00:00,2015-01-01 16:00:00,64.37
Italy,ITA,2015-01-01 16:00:00,2015-01-01 17:00:00,68.52
Italy,ITA,2015-01-01 17:00:00,2015-01-01 18:00:00,67.03
Italy,ITA,2015-01-01 18:00:00,2015-01-01 19:00:00,63.66
Italy,ITA,2015-01-01 19:00:00,2015-01-01 20:00:00,60.56
Italy,ITA,2015-01-01 20:00:00,2015-01-01 21:00:00,55.32
Italy,ITA,2015-01-01 21:00:00,2015-01-01 22:00:00,52.65
Italy,ITA,2015-01-01 22:00:00,2015-01-01 23:00:00,52.32
Italy,ITA,2015-01-01 23:00:00,2015-01-02 00:00:00,47.72
Italy,ITA,2015-01-02 00:00:00,2015-01-02 01:00:00,39.1
Italy,ITA,2015-01-02 01:00:00,2015-01-02 02:00:00,35.21
Italy,ITA,2015-01-02 02:00:00,2015-01-02 03:00:00,32.43
Italy,ITA,2015-01-02 03:00:00,2015-01-02 04:00:00,33.15
Italy,ITA,2015-01-02 04:00:00,2015-01-02 05:00:00,38.85
Italy,ITA,2015-01-02 05:00:00,2015-01-02 06:00:00,48.89
Italy,ITA,2015-01-02 06:00:00,2015-01-02 07:00:00,60.36
Italy,ITA,2015-01-02 07:00:00,2015-01-02 08:00:00,64.07
Italy,ITA,2015-01-02 08:00:00,2015-01-02 09:00:00,64.55
Italy,ITA,2015-01-02 09:00:00,2015-01-02 10:00:00,56.18
Italy,ITA,2015-01-02 10:00:00,2015-01-02 11:00:00,54.31
Italy,ITA,2015-01-02 11:00:00,2015-01-02 12:00:00,52.07
Italy,ITA,2015-01-02 12:00:00,2015-01-02 13:00:00,51.51
Italy,ITA,2015-01-02 13:00:00,2015-01-02 14:00:00,55.25
Italy,ITA,2015-01-02 14:00:00,2015-01-02 15:00:00,64.11
Italy,ITA,2015-01-02 15:00:00,2015-01-02 16:00:00,64.34
Italy,ITA,2015-01-02 16:00:00,2015-01-02 17:00:00,68.54
Italy,ITA,2015-01-02 17:00:00,2015-01-02 18:00:00,67.03
Italy,ITA,2015-01-02 18:00:00,2015-01-02 19:00:00,63.6
Italy,ITA,2015-01-02 19:00:00,2015-01-02 20:00:00,60.4
Italy,ITA,2015-01-02 20:00:00,2015-01-02 21:00:00,55.07
Italy,ITA,2015-01-02 21:00:00,2015-01-02 22:00:00,52.48
Italy,ITA,2015-01-02 22:00:00,2015-01-02 23:00:00,52.2
Italy,ITA,2015-01-02 23:00:00,2015-01-03 00:00:00,47.72
Italy,ITA,2015-01-03 00:00:00,2015-01-03 01:00:00,39.1
Italy,ITA,2015-01-03 01:00:00,2015-01-03 02:00:00,35.21
Italy,ITA,2015-01-03 02:00:00,2015-01-03 03:00:00,32.43
Italy,ITA,2015-01-03 03:00:00,2015-01-03 04:00:00,33.15
Italy,ITA,2015-01-03 04:00:00,2015-01-03 05:00:00,38.85
Italy,ITA,2015-01-03 05:00:00,2015-01-03 06:00:00,48.89
Italy,ITA,2015-01-03 06:00:00,2015-01-03 07:00:00,60.39
Italy,ITA,2015-01-03 07:00:00,2015-01-03 08:00:00,64.07
Italy,ITA,2015-01-03 08:00:00,2015-01-03 09:00:00,64.55
Italy,ITA,2015-01-03 09:00:00,2015-01-03 10:00:00,56.14
Italy,ITA,2015-01-03 10:00:00,2015-01-03 11:00:00,54.29
Italy,ITA,2015-01-03 11:00:00,2015-01-03 12:00:00,52.09
Italy,ITA,2015-01-03 12:00:00,2015-01-03 13:00:00,51.57
Italy,ITA,2015-01-03 13:00:00,2015-01-03 14:00:00,55.34
Italy,ITA,2015-01-03 14:00:00,2015-01-03 15:00:00,64.12
Italy,ITA,2015-01-03 15:00:00,2015-01-03 16:00:00,64.35
Italy,ITA,2015-01-03 16:00:00,2015-01-03 17:00:00,68.54
Italy,ITA,2015-01-03 17:00:00,2015-01-03 18:00:00,67.03
Italy,ITA,2015-01-03 18:00:00,2015-01-03 19:00:00,63.62
Italy,ITA,2015-01-03 19:00:00,2015-01-03 20:00:00,60.45
Italy,ITA,2015-01-03 20:00:00,2015-01-03 21:00:00,55.1
Italy,ITA,2015-01-03 21:00:00,2015-01-03 22:00:00,52.52
Italy,ITA,2015-01-03 22:00:00,2015-01-03 23:00:00,52.24
Italy,ITA,2015-01-03 23:00:00,2015-01-04 00:00:00,47.72
Italy,ITA,2015-01-04 00:00:00,2015-01-04 01:00:00,39.1
Italy,ITA,2015-01-04 01:00:00,2015-01-04 02:00:00,35.21
